iter	Passed	Remaining
0	161	161816
1	166	82941
2	170	56621
3	174	43472
4	179	35668
5	183	30460
6	188	26731
7	192	23898
8	197	21775
9	202	20026
10	206	18607
11	211	17405
12	216	16428
13	220	15554
14	225	14780
15	229	14142
16	234	13579
17	240	13099
18	244	12641
19	249	12225
20	253	11839
21	259	11524
22	263	11195
23	268	10930
24	274	10708
25	279	10477
26	284	10254
27	288	10031
28	293	9829
29	298	9640
30	303	9474
31	308	9337
32	313	9191
33	317	9033
34	322	8887
35	326	8749
36	332	8660
37	337	8556
38	342	8439
39	346	8321
40	351	8216
41	356	8122
42	360	8028
43	365	7936
44	370	7854
45	374	7773
46	379	7689
47	383	7606
48	388	7540
49	392	7456
50	396	7382
51	401	7322
52	406	7262
53	410	7197
54	415	7141
55	420	7086
56	424	7029
57	429	6972
58	434	6927
59	439	6878
60	444	6835
61	448	6783
62	453	6739
63	457	6697
64	462	6656
65	467	6610
66	471	6571
67	476	6530
68	480	6486
69	485	6445
70	489	6411
71	494	6376
72	498	6334
73	503	6305
74	508	6270
75	512	6234
76	517	6203
77	522	6174
78	527	6147
79	532	6122
80	537	6092
81	541	6066
82	546	6040
83	550	6005
84	563	6061
85	567	6030
86	571	6002
87	576	5975
88	581	5949
89	586	5928
90	591	5909
91	596	5883
92	600	5857
93	605	5834
94	610	5818
95	615	5795
96	620	5772
97	624	5746
98	628	5721
99	633	5699
100	638	5681
101	642	5660
102	648	5646
103	652	5622
104	657	5601
105	661	5580
106	666	5558
107	670	5539
108	675	5521
109	680	5502
110	684	5480
111	689	5465
112	694	5448
113	698	5429
114	703	5410
115	708	5401
116	713	5386
117	718	5373
118	722	5351
119	727	5334
120	731	5316
121	736	5300
122	740	5282
123	745	5268
124	750	5254
125	754	5236
126	759	5222
127	764	5210
128	770	5200
129	775	5187
130	780	5174
131	785	5163
132	791	5156
133	796	5146
134	800	5128
135	805	5114
136	821	5175
137	825	5158
138	830	5144
139	835	5134
140	840	5119
141	844	5103
142	849	5092
143	854	5080
144	858	5064
145	863	5051
146	868	5038
147	872	5025
148	877	5010
149	881	4996
150	886	4986
151	892	4981
152	897	4966
153	901	4953
154	906	4944
155	911	4930
156	915	4915
157	920	4905
158	925	4895
159	930	4885
160	935	4875
161	940	4864
162	945	4856
163	951	4848
164	956	4838
165	960	4827
166	965	4814
167	970	4805
168	975	4795
169	979	4782
170	984	4770
171	989	4762
172	993	4749
173	998	4738
174	1002	4727
175	1007	4716
176	1011	4703
177	1016	4692
178	1021	4683
179	1025	4672
180	1029	4659
181	1035	4651
182	1040	4644
183	1044	4633
184	1049	4622
185	1054	4615
186	1060	4609
187	1064	4599
188	1069	4588
189	1074	4580
190	1081	4579
191	1086	4573
192	1092	4567
193	1097	4558
194	1101	4548
195	1105	4536
196	1110	4526
197	1115	4516
198	1119	4506
199	1124	4496
200	1131	4497
201	1138	4496
202	1144	4493
203	1151	4491
204	1158	4493
205	1163	4485
206	1168	4478
207	1173	4468
208	1177	4458
209	1182	4447
210	1187	4440
211	1192	4431
212	1197	4423
213	1201	4414
214	1206	4405
215	1210	4393
216	1214	4382
217	1219	4376
218	1224	4368
219	1229	4360
220	1234	4350
221	1238	4340
222	1243	4331
223	1247	4323
224	1251	4311
225	1256	4302
226	1260	4293
227	1265	4283
228	1269	4275
229	1274	4268
230	1278	4257
231	1283	4248
232	1288	4242
233	1293	4233
234	1297	4223
235	1302	4217
236	1307	4209
237	1312	4200
238	1316	4192
239	1321	4183
240	1325	4175
241	1331	4169
242	1335	4160
243	1340	4153
244	1345	4147
245	1350	4140
246	1355	4131
247	1359	4122
248	1363	4113
249	1368	4104
250	1372	4094
251	1376	4086
252	1380	4076
253	1385	4070
254	1390	4063
255	1395	4055
256	1400	4047
257	1404	4039
258	1409	4031
259	1414	4024
260	1417	4014
261	1422	4007
262	1427	3999
263	1431	3990
264	1435	3982
265	1440	3973
266	1443	3963
267	1448	3956
268	1453	3948
269	1458	3942
270	1463	3936
271	1468	3929
272	1472	3921
273	1476	3912
274	1481	3904
275	1500	3935
276	1504	3926
277	1508	3917
278	1513	3910
279	1517	3901
280	1521	3892
281	1526	3885
282	1530	3878
283	1534	3869
284	1539	3861
285	1544	3854
286	1548	3847
287	1552	3838
288	1557	3832
289	1562	3824
290	1566	3816
291	1570	3808
292	1574	3800
293	1578	3791
294	1583	3784
295	1588	3777
296	1593	3772
297	1597	3764
298	1602	3757
299	1608	3752
300	1612	3744
301	1616	3736
302	1622	3731
303	1626	3723
304	1630	3716
305	1635	3708
306	1639	3700
307	1643	3692
308	1648	3685
309	1652	3679
310	1657	3672
311	1662	3665
312	1666	3657
313	1671	3650
314	1675	3644
315	1680	3636
316	1684	3629
317	1689	3623
318	1694	3616
319	1697	3607
320	1702	3601
321	1706	3592
